protocol_id,reference_locations,go_literal_locations,interpretation
3200,handlers/single_room.py:38; room_requests.py:150; rooms.py:235; tutorial.py:82,game/room_packets.go:97; game/rooms.go:699,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
3230,handlers/single_room.py:47; room_requests.py:164; rooms.py:235; tutorial.py:82,game/rooms.go:668; game/seat_exchange.go:53,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
3260,rooms.py:219; tutorial.py:82,game/rooms.go:666; game/seat_exchange.go:71,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
3262,rooms.py:219; tutorial.py:82,game/rooms.go:666,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
3263,rooms.py:219; tutorial.py:82,game/rooms.go:666; game/seat_exchange.go:92,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
3320,handlers/session.py:55,game/character.go:9; game/character.go:36; game/session.go:401,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
3500,handlers/single_room.py:23; room_requests.py:21; rooms.py:210; tutorial.py:82,protocol/room_invitation.go:5,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
3501,handlers/single_room.py:23; room_requests.py:46; rooms.py:210; tutorial.py:82,protocol/room_invitation.go:6,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
3502,handlers/single_room.py:23; room_requests.py:58; rooms.py:210; tutorial.py:82,protocol/room_invitation.go:7,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
3550,handlers/single_room.py:17; rooms.py:224,game/rooms.go:286; game/rooms.go:640; game/spectators.go:160; protocol/names.go:145,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
4030,handlers/single_room.py:98; room_flow.py:194; rooms.py:235; tutorial.py:75,protocol/names.go:146,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
4031,handlers/single_room.py:93; room_requests.py:218; rooms.py:235,protocol/room_invitation.go:8,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
4051,handlers/single_room.py:29; room_requests.py:193; rooms.py:235; tutorial.py:82,protocol/room_owner.go:4,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
4060,room_flow.py:194; room_flow.py:200; rooms.py:235; tutorial.py:75; tutorial.py:78,protocol/names.go:148,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
4081,menu_layouts.py:181,protocol/names.go:151,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
4082,engine.py:228; handlers/single_room.py:84,game/weapon_switch.go:18; protocol/names.go:152,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
4110,rooms.py:228,game/protocol_log.go:54; game/rooms.go:623,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
4111,rooms.py:226,,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
4115,rooms.py:228,game/rooms.go:625; game/spectators.go:159,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
4121,menu_layouts.py:159,,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
4124,rooms.py:206; tutorial.py:56,game/tutorial.go:39; game/tutorial.go:54; protocol/names.go:154,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
4126,handlers/lobby.py:22,game/title.go:39; game/title.go:94; game/title.go:108; persistence/title_rewards.go:47; persistence/title_rewards.go:120; persistence/tutorial_rewards.go:78; protocol/names.go:156; protocol/title.go:43,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
4140,rooms.py:215,protocol/names.go:157,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
4160,handlers/single_room.py:113; room_flow.py:223; rooms.py:235,game/foster_positions.go:9; game/pve_blocks.go:74; protocol/names.go:159,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
4200,engine.py:228; engine.py:230; handlers/consumption.py:19,game/consumption.go:18; game/session.go:473,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
4201,rooms.py:216,game/session.go:467; game/session.go:470; persistence/talisman_use.go:13,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
4202,handlers/lobby.py:28,game/session.go:506; game/talisman.go:45; game/talisman.go:88,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
4204,handlers/lobby.py:28,game/session.go:506; game/talisman.go:38,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
5000,handlers/social.py:25,game/session.go:483; game/session.go:1002; game/session.go:1005; game/session.go:1036,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
5002,handlers/social.py:9,game/session.go:483; game/session.go:1005,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
6000,engine.py:267; handlers/lobby.py:25; menu_layouts.py:81; quests.py:166; quests.py:173; quests.py:174; quests.py:176; quests.py:195,game/session.go:502; game/tasks.go:14; game/tasks.go:68,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
6001,engine.py:267; handlers/lobby.py:25; menu_layouts.py:103; quests.py:173,game/extended_tasks.go:13; game/session.go:497,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
6002,engine.py:267; handlers/lobby.py:25; menu_layouts.py:103; quests.py:173,game/extended_tasks.go:13; game/session.go:497,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
6003,engine.py:267; menu_layouts.py:103,,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
6020,menu_layouts.py:221,game/tasks.go:69; game/tasks.go:70; game/tasks.go:166; protocol/tasks.go:50; protocol/tasks.go:106,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
6030,menu_layouts.py:246,game/tasks.go:135; persistence/task_settings.go:168; protocol/tasks.go:11,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
6031,menu_layouts.py:229,game/extended_tasks.go:97; protocol/extended_tasks.go:114,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
6032,menu_layouts.py:229,game/extended_tasks.go:99; protocol/extended_tasks.go:114,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
6033,menu_layouts.py:229,,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
6040,menu_layouts.py:250,game/tasks.go:165; game/tasks.go:170; protocol/tasks.go:13,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
6041,menu_layouts.py:234,game/extended_tasks.go:31; game/extended_tasks.go:33; game/extended_tasks.go:51; game/extended_tasks.go:69; protocol/extended_tasks.go:73; protocol/extended_tasks.go:79; protocol/tasks.go:116,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
6042,menu_layouts.py:234,game/extended_tasks.go:31; game/extended_tasks.go:35; game/extended_tasks.go:51; game/extended_tasks.go:71; protocol/extended_tasks.go:73; protocol/extended_tasks.go:79; protocol/tasks.go:116,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
6043,menu_layouts.py:234; menu_layouts.py:237,,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
6050,handlers/lobby.py:25; menu_layouts.py:90,game/session.go:502; persistence/tasks.go:11; persistence/tasks.go:19; persistence/tasks.go:105; protocol/tasks.go:31; protocol/tasks.go:42,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
6051,handlers/lobby.py:25; menu_layouts.py:95,game/session.go:504; persistence/extended_tasks.go:32; persistence/extended_tasks.go:114; protocol/extended_tasks.go:34,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
6052,handlers/lobby.py:25; menu_layouts.py:95,game/session.go:504; persistence/extended_tasks.go:34; persistence/extended_tasks.go:114; protocol/extended_tasks.go:34,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
6060,menu_layouts.py:246,game/tasks.go:96; protocol/tasks.go:11,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
6061,menu_layouts.py:229,protocol/extended_tasks.go:114,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
6062,menu_layouts.py:229,protocol/extended_tasks.go:114,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
6063,menu_layouts.py:229,,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
6070,menu_layouts.py:197,,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
6080,handlers/lobby.py:25; menu_layouts.py:90,game/session.go:502; persistence/tasks.go:11; persistence/tasks.go:19; persistence/tasks.go:127; protocol/tasks.go:31; protocol/tasks.go:42,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
6081,handlers/lobby.py:25; menu_layouts.py:95,game/session.go:504; persistence/extended_tasks.go:32; protocol/extended_tasks.go:36,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
6082,handlers/lobby.py:25; menu_layouts.py:95,game/session.go:504; persistence/extended_tasks.go:34; protocol/extended_tasks.go:36,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
6090,menu_layouts.py:246,protocol/tasks.go:11,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
6091,menu_layouts.py:229,protocol/extended_tasks.go:114,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
6092,menu_layouts.py:229,protocol/extended_tasks.go:114,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
6093,menu_layouts.py:229,,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
6100,menu_layouts.py:197,,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
6223,menu_layouts.py:239,,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
6225,engine.py:267; menu_layouts.py:103,,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
6226,menu_layouts.py:218,,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
6301,menu_layouts.py:229,game/extended_tasks.go:140; protocol/extended_tasks.go:114,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
6302,menu_layouts.py:229,game/extended_tasks.go:140; protocol/extended_tasks.go:114,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
6303,menu_layouts.py:229,,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
6311,handlers/lobby.py:25; menu_layouts.py:95; quests.py:199; quests.py:201,game/extended_tasks.go:116; game/session.go:504; persistence/extended_task_claim.go:10; protocol/extended_tasks.go:38,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
6312,handlers/lobby.py:25; menu_layouts.py:95; quests.py:199,game/extended_tasks.go:116; game/session.go:504; persistence/extended_task_claim.go:8; protocol/extended_tasks.go:38,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
8040,handlers/single_room.py:120; room_flow.py:231; rooms.py:235,protocol/battle_input_ready.go:3; protocol/names.go:162,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
8071,engine.py:228; engine.py:230; engine.py:267; lab_capture.py:32; layouts.py:317; rooms.py:212; rooms.py:216; rooms.py:235; rooms.py:243,game/protocol_log.go:165; protocol/names.go:164,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
8120,battle_relay.py:110; battle_relay.py:173; battle_relay.py:70; foster.py:118; foster.py:120; layouts.py:79; pve.py:137; pve.py:145,game/battle.go:193; protocol/names.go:166,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
8121,battle_relay.py:179; battle_relay.py:70; battle_relay.py:80; battle_relay.py:86; foster.py:120; layouts.py:87; pve.py:141; pve.py:156,game/battle.go:23; game/battle.go:273; game/battle.go:298; game/foster_health.go:11; game/practice.go:5; protocol/names.go:167,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
8122,battle_relay.py:70; layouts.py:110; pve.py:139,game/battle.go:23; game/battle.go:190; game/battle.go:298; protocol/names.go:168,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
8125,battle_relay.py:70; layouts.py:114,protocol/battle_extra.go:8,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
8126,battle_relay.py:57; layouts.py:102,game/practice.go:6; protocol/names.go:169,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
8127,battle_relay.py:70; layouts.py:125,protocol/names.go:170,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
8140,battle_relay.py:70; layouts.py:258,protocol/names.go:171,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
8142,layouts.py:120,,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
8143,battle_pairs.py:38; battle_relay.py:101; battle_relay.py:175; battle_relay.py:70; layouts.py:132; sdp_peer.py:194,game/battle_extended.go:9; protocol/battle_extra.go:9,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
8144,battle_relay.py:63; layouts.py:138,protocol/battle_extra.go:10,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
8150,battle_relay.py:159; battle_relay.py:162; battle_relay.py:197; battle_relay.py:70; battle_relay.py:78; battle_relay.py:86; battle_relay.py:97; layouts.py:264; pve.py:140; pve.py:141,game/practice.go:6; protocol/names.go:172,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
8155,battle_relay.py:21; battle_relay.py:61; layouts.py:179,game/battle.go:193; protocol/names.go:173,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
8157,battle_relay.py:61; layouts.py:193,game/reborn.go:8; protocol/battle_extra.go:5,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
8270,battle_relay.py:65; layouts.py:151,protocol/battle_extra.go:11,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
8276,layouts.py:175,,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
8278,battle_receipts.py:36; battle_relay.py:59; layouts.py:215,protocol/battle_extra.go:6,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
8280,battle_relay.py:101; battle_relay.py:70; layouts.py:159,protocol/battle_extra.go:12,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
8282,layouts.py:164,,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
8284,battle_relay.py:70; battle_relay.py:76; battle_relay.py:82; layouts.py:168,protocol/battle_extra.go:13,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
8286,battle_receipts.py:20; battle_receipts.py:22; battle_relay.py:59; layouts.py:220,protocol/battle_extra.go:7,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
8287,battle_relay.py:123; battle_relay.py:177; battle_relay.py:70; layouts.py:199,protocol/battle_extra.go:14,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
8288,layouts.py:206,,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
8289,layouts.py:27,game/session.go:473,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
8290,layouts.py:274,,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
8293,battle_relay.py:70; battle_relay.py:82; layouts.py:225,protocol/battle_extra.go:15,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
8294,battle_relay.py:53; layouts.py:209; team_series.py:44; team_series.py:52,,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
8295,battle_relay.py:53; team_series.py:44; team_series.py:57,,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
8296,battle_relay.py:53; layouts.py:212; team_series.py:44; team_series.py:47,,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
8297,battle_relay.py:53; team_series.py:44,,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
8394,layouts.py:278,,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
8400,battle_relay.py:130; battle_relay.py:188; battle_relay.py:70; layouts.py:239,protocol/battle_extra.go:16,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
8401,battle_relay.py:139; battle_relay.py:146; battle_relay.py:193; battle_relay.py:70; layouts.py:245; layouts.py:253,protocol/battle_extra.go:17,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
8402,battle_relay.py:139; battle_relay.py:143; battle_relay.py:191; battle_relay.py:70; layouts.py:245; layouts.py:247,protocol/battle_extra.go:18,"Source index only: may be decoder/output/logging/constant, not a handler. See protocol-audit-20260922.md."
